time,signal
530,113.429
531,107.525
532,109.791
533,111.697
534,132.087
535,118.709
536,136.367
537,132.204
538,116.156
539,121.775
540,133.538
541,140.574
542,132.591
543,129.762
544,127.184
545,129.582
546,122.963
547,133.7
548,114.628
549,111.841
550,115.572
551,125.207
552,108.464
553,132.339
554,132.806
555,126.855
556,129.534
557,134.257
558,124.607
559,123.297
560,105.224
561,150.185
562,152.882
563,153.257
564,135.096
565,118.359
566,106.087
567,109.606
568,111.032
569,131.755
570,145.105
571,115.473
572,106.164
573,135.441
574,146.454
575,143.262
576,129.462
577,138.273
578,121.73
579,119.078
580,120.0
581,118.083
582,109.323
583,105.188
584,108.227
585,154.096
586,141.509
587,127.664
588,122.749
589,118.733
590,116.201
591,120.615
592,118.194
593,122.18
594,119.273
595,116.756
596,120.112
597,115.857
598,112.32
599,116.208
600,142.168
601,143.427
602,134.017
603,114.743
604,97.3482
605,116.651
606,122.21
607,135.845
608,116.875
609,116.875
610,127.664
611,134.766
612,111.451
613,93.4404
614,123.924
615,127.484
616,142.408
617,132.519
618,133.148
619,112.527
620,98.5949
621,104.289
622,143.559
623,128.683
624,125.806
625,128.939
626,122.953
627,110.897
628,120.741
629,132.818
630,134.716
631,108.11
632,151.668
633,131.106
634,105.967
635,106.986
636,129.956
637,107.885
638,105.847
639,114.178
640,126.705
641,133.837
642,130.541
643,108.245
644,107.885
645,126.555
646,130.865
647,132.447
648,120.591
649,122.509
650,120.532
651,131.029
652,114.118
653,112.86
654,115.077
655,114.418
656,112.515
657,135.875
658,116.141
659,122.03
660,108.934
661,138.392
662,134.137
663,119.483
664,126.945
665,139.441
666,119.513
667,107.745
668,115.309
669,110.115
670,109.971
671,118.494
672,130.335
673,124.643
674,123.708
675,135.216
676,128.083
677,120.549
678,137.374
679,119.501
680,110.736
681,103.929
682,106.147
683,120.532
684,137.086
685,135.986
686,112.41
687,105.393
688,106.367
689,134.16
690,116.053
691,119.101
692,129.822
693,116.83
694,116.935
695,113.998
696,130.271
697,135.935
698,106.986
699,103.056
700,141.209
701,140.161
702,123.456
703,105.368
704,89.6987
705,87.6266
706,89.7382
707,95.1186
708,135.036
709,135.815
710,144.314
711,131.62
712,126.123
713,130.406
714,125.192
715,136.774
716,123.408
717,111.866
718,128.72
719,154.186
720,133.148
721,108.11
722,127.484
723,135.627
724,138.722
725,139.891
726,137.254
727,141.329
728,114.448
729,115.653
730,135.396
731,136.924
732,125.722
733,127.964
734,126.801
735,141.03
736,140.251
737,135.755
738,117.055
739,115.032
740,128.024
741,110.088
742,103.677
743,147.758
744,151.003
745,136.007
746,128.473
747,110.282
748,114.106
749,126.046
750,115.197
751,141.257
752,120.112
753,135.635
754,138.889
755,122.527
756,117.595
757,109.818
758,118.269
759,117.55
760,111.541
761,115.572
762,110.897
763,115.032
764,113.459
765,114.918
766,127.484
767,105.338
768,120.951
769,142.109
770,115.976
771,126.405
772,131.035
773,137.104
774,125.386
775,121.431
776,119.258
777,118.763
778,111.122
779,101.078
780,93.5003
781,95.5861
782,114.898
783,133.478
784,109.611
785,140.52
786,115.122
787,119.992
788,112.14
789,100.468
790,116.815
791,118.494
792,116.396
793,118.461
794,129.882
795,131.125
796,132.579
797,128.338
798,116.552
799,134.721
800,118.314
801,112.44
802,114.538
803,113.144
804,117.163
805,119.273
806,140.574
807,126.765
808,118.629
809,117.415
810,105.548
811,107.094
812,109.812
813,157.872
814,129.616
815,117.595
816,151.099
817,136.235
818,140.071
819,136.115
820,139.197
821,117.265
822,109.863
823,105.727
824,108.065
825,109.683
826,107.037
827,99.6538
828,111.733
829,128.563
830,136.577
831,140.67
832,135.935
833,129.39
834,138.093
835,138.684
836,142.888
837,124.355
838,114.394
839,114.808
840,103.595
841,108.694
842,117.774
843,118.853
844,144.026
845,131.62
846,116.387
847,128.323
848,123.708
849,125.356
850,122.629
851,124.547
852,122.809
853,129.642
854,134.287
855,113.675
856,143.507
857,111.841
858,141.06
859,138.65
860,147.083
861,144.823
862,129.246
863,129.417
864,120.22
865,132.806
866,116.276
867,132.788
868,145.375
869,128.671
870,125.057
871,121.281
872,133.598
873,129.539
874,121.67
875,124.877
876,144.416
877,123.648
878,112.245
879,117.523
880,129.432
881,128.473
882,113.159
883,113.408
884,137.985
885,108.82
886,108.994
887,111.661
888,108.388
889,138.381
890,139.651
891,114.178
892,112.26
893,118.961
894,117.295
895,119.573
896,138.812
897,136.475
898,134.811
899,138.273
900,136.403
901,137.589
902,114.598
903,121.73
904,137.949
905,113.954
906,92.5653
907,89.8903
908,136.726
909,144.026
910,130.757
911,118.202
912,109.054
913,102.516
914,93.9319
915,139.531
916,140.88
917,113.189
918,113.699
919,140.857
920,119.806
921,109.773
922,113.279
923,113.891
924,100.573
925,107.406
926,138.812
927,121.251
